Title,Art Latitude,Art Longitude,Venue_x,Venue Latitude,Venue Longitude,Venue Category,Super Category,Venue_y,cluster_label
Mother Reading with Child,47.522566999999995,-122.37646699999999,Beauty Bar Spa,47.522735,-122.376957,Cosmetics Shop,Retail,Beauty Bar Spa,0
Mother Reading with Child,47.522566999999995,-122.37646699999999,Stuffed Cakes,47.52273742,-122.3769273,Cupcake Shop,Food,Stuffed Cakes,0
Mother Reading with Child,47.522566999999995,-122.37646699999999,JC's Deli,47.52273641,-122.37689979999999,Deli / Bodega,Food,JC's Deli,0
Looking at a Watershed: Dream Forest,47.535767,-122.361617,Tug Tavern,47.53794135,-122.3618856,Dive Bar,Retail,Tug Tavern,0
Break Point,47.540783000000005,-122.37501699999999,Walt Hundley Playfield,47.5394835,-122.3738773,Field,Recreation,Walt Hundley Playfield,0
Highpoint,47.540783000000005,-122.37501699999999,Walt Hundley Playfield,47.5394835,-122.3738773,Field,Recreation,Walt Hundley Playfield,0
Bronze Plaques and Medallion,47.579817,-122.40975,Spud Fish & Chips,47.5795374,-122.40888580000001,Fish & Chips Shop,Food,Spud Fish & Chips,0
Little Liberty,47.579383,-122.410633,Spud Fish & Chips,47.5795374,-122.40888580000001,Fish & Chips Shop,Food,Spud Fish & Chips,0
Mother Reading with Child,47.522566999999995,-122.37646699999999,West Seattle Fish House,47.522636,-122.3768658,Fish & Chips Shop,Food,West Seattle Fish House,0
Whale's Tail,47.579383,-122.40715,Spud Fish & Chips,47.5795374,-122.40888580000001,Fish & Chips Shop,Food,Spud Fish & Chips,0
Looking at a Watershed: Dream Forest,47.535767,-122.361617,El rey del taco truck,47.537588,-122.362733,Food Truck,Food,El rey del taco truck,0
Sky Legends,47.5481,-122.37601699999999,Snout and Co.,47.54614123,-122.37627920000001,Food Truck,Food,Snout and Co.,0
The Forest Is Waiting,47.552966999999995,-122.363017,Delridge Food Mart (76),47.55390387,-122.3632638,Gas Station,Retail,Delridge Food Mart (76),0
The Forest Is Waiting,47.552966999999995,-122.363017,Shell,47.55254248,-122.36304080000001,Gas Station,Retail,Shell,0
Alki / Duwamish Culture Trail,47.58215,-122.403517,Christo's on Alki,47.5808974,-122.4058122,Greek Restaurant,Food,Christo's on Alki,0
Bronze Imbeds,47.58215,-122.403517,Christo's on Alki,47.5808974,-122.4058122,Greek Restaurant,Food,Christo's on Alki,0
Pavers,47.58215,-122.403517,Christo's on Alki,47.5808974,-122.4058122,Greek Restaurant,Food,Christo's on Alki,0
Dragonfly Pavilion and Garden,47.566633,-122.36775,West Seattle Health Club,47.56806928,-122.367325,Gym,Recreation,West Seattle Health Club,0
Looking at a Watershed:  Waterprints,47.5354,-122.361733,The Home Depot,47.53639525,-122.3638773,Hardware Store,Retail,The Home Depot,0
Looking at a Watershed: Dream Forest,47.535767,-122.361617,The Home Depot,47.53639525,-122.3638773,Hardware Store,Retail,The Home Depot,0
Looking at a Watershed: Sanctuary Grove,47.5354,-122.361733,The Home Depot,47.53639525,-122.3638773,Hardware Store,Retail,The Home Depot,0
Looking at a Watershed: Streambed Memories,47.5354,-122.361733,The Home Depot,47.53639525,-122.3638773,Hardware Store,Retail,The Home Depot,0
Dragonfly Pavilion and Garden,47.566633,-122.36775,beauty with alfonso,47.565827,-122.37011899999999,Health & Beauty Service,Retail,beauty with alfonso,0
Geo-Slice,47.559067,-122.35066699999999,Duwamish Longhouse & Cultural Ctr,47.56101687,-122.3522128,History Museum,Recreation,Duwamish Longhouse & Cultural Ctr,0
Whale's Tail,47.579383,-122.40715,Pepperdock Restaurant,47.58030558,-122.4072033,Ice Cream Shop,Food,Pepperdock Restaurant,0
Bronze Plaques and Medallion,47.579817,-122.40975,Il Nido,47.578528000000006,-122.41108899999999,Italian Restaurant,Food,Il Nido,0
Little Liberty,47.579383,-122.410633,Il Nido,47.578528000000006,-122.41108899999999,Italian Restaurant,Food,Il Nido,0
Mother Reading with Child,47.522566999999995,-122.37646699999999,Tony's Market,47.52132361,-122.3764543,Market,Retail,Tony's Market,0
Bronze Plaques and Medallion,47.579817,-122.40975,El Chupacabra,47.58020415,-122.40726940000002,Mexican Restaurant,Food,El Chupacabra,0
Little Liberty,47.579383,-122.410633,Cactus,47.57823369,-122.41310619999999,Mexican Restaurant,Food,Cactus,0
Whale's Tail,47.579383,-122.40715,El Chupacabra,47.58020415,-122.40726940000002,Mexican Restaurant,Food,El Chupacabra,0
American Youth and Freedom,47.530217,-122.393317,Lincoln Park,47.52942511,-122.39329509999999,Park,Recreation,Lincoln Park,0
Break Point,47.540783000000005,-122.37501699999999,High Point Community Center,47.5406652,-122.3745584,Park,Recreation,High Point Community Center,0
Children's Screen,47.563367,-122.364167,Delridge Playfield,47.56384125,-122.3640773,Park,Recreation,Delridge Playfield,0
Dragonfly Pavilion and Garden,47.566633,-122.36775,Dragonfly Pavillion,47.56716879,-122.36805190000001,Park,Recreation,Dragonfly Pavillion,0
Dragonfly Pavilion and Garden,47.566633,-122.36775,Dragonfly Park,47.56694883,-122.36825259999998,Park,Recreation,Dragonfly Park,0
Framed Portraits,47.56345,-122.36418300000001,Delridge Playfield,47.56384125,-122.3640773,Park,Recreation,Delridge Playfield,0
Geomantic Artwork,47.563567,-122.3645,Delridge Playfield,47.56384125,-122.3640773,Park,Recreation,Delridge Playfield,0
Geo-Slice,47.559067,-122.35066699999999,"T-107 Park, Duwamish",47.55949327,-122.3512503,Park,Recreation,"T-107 Park, Duwamish",0
Highpoint,47.540783000000005,-122.37501699999999,High Point Community Center,47.5406652,-122.3745584,Park,Recreation,High Point Community Center,0
Homecoming,47.523467,-122.39363300000001,Cove Park,47.522963,-122.393685,Park,Recreation,Cove Park,0
Inset-Anchor (Park) On Alki,47.595183,-122.38746699999999,Luna Park,47.59509177,-122.3874594,Park,Recreation,Luna Park,0
JUMs,47.527683,-122.36881699999999,No-Name Park,47.52840138,-122.3717242,Park,Recreation,No-Name Park,0
One Hundred and Twenty Ancestors,47.56345,-122.36418300000001,Delridge Playfield,47.56384125,-122.3640773,Park,Recreation,Delridge Playfield,0
Paragon,47.558867,-122.3512,"T-107 Park, Duwamish",47.55949327,-122.3512503,Park,Recreation,"T-107 Park, Duwamish",0
Story Viewers,47.5587,-122.350783,"T-107 Park, Duwamish",47.55949327,-122.3512503,Park,Recreation,"T-107 Park, Duwamish",0
Tribal Names,47.563617,-122.3645,Delridge Playfield,47.56384125,-122.3640773,Park,Recreation,Delridge Playfield,0
Trophies,47.56345,-122.36418300000001,Delridge Playfield,47.56384125,-122.3640773,Park,Recreation,Delridge Playfield,0
Viewers,47.595333000000004,-122.386417,Luna Park,47.59509177,-122.3874594,Park,Recreation,Luna Park,0
Viewers,47.595333000000004,-122.386417,Marshall Reserve Park,47.5942457,-122.3838916,Park,Recreation,Marshall Reserve Park,0
The Forest Is Waiting,47.552966999999995,-122.363017,Camp Crockett,47.551477,-122.36325900000001,Pet Service,Service,Camp Crockett,0
Homecoming,47.523467,-122.39363300000001,Fauntleroy Ferry Terminal,47.52322678,-122.39534679999998,Pier,Recreation,Fauntleroy Ferry Terminal,0
Bronze Plaques and Medallion,47.579817,-122.40975,Pegasus Pizza,47.57872222,-122.4118159,Pizza Place,Food,Pegasus Pizza,0
Homecoming,47.523467,-122.39363300000001,Ferry Boat Cafe,47.52325153,-122.39556909999999,Pizza Place,Food,Ferry Boat Cafe,0
Little Liberty,47.579383,-122.410633,Pegasus Pizza,47.57872222,-122.4118159,Pizza Place,Food,Pegasus Pizza,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Giannoni's,47.52138867,-122.36702759999999,Pizza Place,Food,Giannoni's,0
The Forest Is Waiting,47.552966999999995,-122.363017,Olympic Pizza and Pasta,47.551727,-122.363274,Pizza Place,Food,Olympic Pizza and Pasta,0
Break Point,47.540783000000005,-122.37501699999999,YMCA Discovery Camp WSE,47.542050700000004,-122.374397,Playground,Recreation,YMCA Discovery Camp WSE,0
Break Point,47.540783000000005,-122.37501699999999,Myrtle Reservoir Park,47.54083608,-122.37732779999999,Playground,Recreation,Myrtle Reservoir Park,0
Highpoint,47.540783000000005,-122.37501699999999,YMCA Discovery Camp WSE,47.542050700000004,-122.374397,Playground,Recreation,YMCA Discovery Camp WSE,0
Highpoint,47.540783000000005,-122.37501699999999,Myrtle Reservoir Park,47.54083608,-122.37732779999999,Playground,Recreation,Myrtle Reservoir Park,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Roxhill Park,47.52003687,-122.36942320000001,Playground,Recreation,Roxhill Park,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Roxhill Skatepark,47.52055709,-122.36966000000001,Plaza,Recreation,Roxhill Skatepark,0
JUMs,47.527683,-122.36881699999999,Southwest Pool,47.52797135,-122.36905990000001,Pool,Recreation,Southwest Pool,0
JUMs,47.527683,-122.36881699999999,Shad's Neighborhood Pub,47.528919,-122.36896399999999,Pub,Food,Shad's Neighborhood Pub,0
Sky Legends,47.5481,-122.37601699999999,Enterprise Rent-A-Car,47.54605508,-122.3767304,Rental Car Location,Retail,Enterprise Rent-A-Car,0
Homecoming,47.523467,-122.39363300000001,captain's park,47.52328478,-122.3928562,Rest Area,Recreation,captain's park,0
American Youth and Freedom,47.530217,-122.393317,Hoover Bar and Grill,47.52803918,-122.3927455,Restaurant,Food,Hoover Bar and Grill,0
Break Point,47.540783000000005,-122.37501699999999,High Point Cell Tower,47.540451000000004,-122.378224,Scenic Lookout,Recreation,High Point Cell Tower,0
Highpoint,47.540783000000005,-122.37501699999999,High Point Cell Tower,47.540451000000004,-122.378224,Scenic Lookout,Recreation,High Point Cell Tower,0
Homecoming,47.523467,-122.39363300000001,Fauntleroy Creek Ravine,47.52264935,-122.392416,Scenic Lookout,Recreation,Fauntleroy Creek Ravine,0
Inset-Anchor (Park) On Alki,47.595183,-122.38746699999999,Alki Point,47.59457348,-122.38454080000001,Scenic Lookout,Recreation,Alki Point,0
Inset-Anchor (Park) On Alki,47.595183,-122.38746699999999,Duwamish Head Greenbelt,47.59507834,-122.386675,Scenic Lookout,Recreation,Duwamish Head Greenbelt,0
Viewers,47.595333000000004,-122.386417,Alki Point,47.59457348,-122.38454080000001,Scenic Lookout,Recreation,Alki Point,0
Viewers,47.595333000000004,-122.386417,Duwamish Head Greenbelt,47.59507834,-122.386675,Scenic Lookout,Recreation,Duwamish Head Greenbelt,0
Alki / Duwamish Culture Trail,47.58215,-122.403517,Duke's Seafood & Chowder,47.580712,-122.40596599999999,Seafood Restaurant,Food,Duke's Seafood & Chowder,0
Bronze Imbeds,47.58215,-122.403517,Duke's Seafood & Chowder,47.580712,-122.40596599999999,Seafood Restaurant,Food,Duke's Seafood & Chowder,0
Little Liberty,47.579383,-122.410633,Sunfish Seafood,47.578518,-122.4122,Seafood Restaurant,Food,Sunfish Seafood,0
Pavers,47.58215,-122.403517,Duke's Seafood & Chowder,47.580712,-122.40596599999999,Seafood Restaurant,Food,Duke's Seafood & Chowder,0
Whale's Tail,47.579383,-122.40715,Duke's Seafood & Chowder,47.580712,-122.40596599999999,Seafood Restaurant,Food,Duke's Seafood & Chowder,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Westwood Village,47.52168503,-122.36694950000002,Shopping Mall,Retail,Westwood Village,0
Children's Screen,47.563367,-122.364167,Delridge Skatepark,47.56450156,-122.36415579999999,Skate Park,Recreation,Delridge Skatepark,0
Framed Portraits,47.56345,-122.36418300000001,Delridge Skatepark,47.56450156,-122.36415579999999,Skate Park,Recreation,Delridge Skatepark,0
Geomantic Artwork,47.563567,-122.3645,Delridge Skatepark,47.56450156,-122.36415579999999,Skate Park,Recreation,Delridge Skatepark,0
One Hundred and Twenty Ancestors,47.56345,-122.36418300000001,Delridge Skatepark,47.56450156,-122.36415579999999,Skate Park,Recreation,Delridge Skatepark,0
Tribal Names,47.563617,-122.3645,Delridge Skatepark,47.56450156,-122.36415579999999,Skate Park,Recreation,Delridge Skatepark,0
Trophies,47.56345,-122.36418300000001,Delridge Skatepark,47.56450156,-122.36415579999999,Skate Park,Recreation,Delridge Skatepark,0
Children's Screen,47.563367,-122.364167,Delridge Playfield - Soccer Fields,47.56199744,-122.36371650000001,Soccer Field,Recreation,Delridge Playfield - Soccer Fields,0
Framed Portraits,47.56345,-122.36418300000001,Delridge Playfield - Soccer Fields,47.56199744,-122.36371650000001,Soccer Field,Recreation,Delridge Playfield - Soccer Fields,0
Geomantic Artwork,47.563567,-122.3645,Delridge Playfield - Soccer Fields,47.56199744,-122.36371650000001,Soccer Field,Recreation,Delridge Playfield - Soccer Fields,0
JUMs,47.527683,-122.36881699999999,Chief Sealth High School Stadium,47.52737034,-122.36753390000001,Soccer Field,Recreation,Chief Sealth High School Stadium,0
One Hundred and Twenty Ancestors,47.56345,-122.36418300000001,Delridge Playfield - Soccer Fields,47.56199744,-122.36371650000001,Soccer Field,Recreation,Delridge Playfield - Soccer Fields,0
Tribal Names,47.563617,-122.3645,Delridge Playfield - Soccer Fields,47.56199744,-122.36371650000001,Soccer Field,Recreation,Delridge Playfield - Soccer Fields,0
Trophies,47.56345,-122.36418300000001,Delridge Playfield - Soccer Fields,47.56199744,-122.36371650000001,Soccer Field,Recreation,Delridge Playfield - Soccer Fields,0
Alki / Duwamish Culture Trail,47.58215,-122.403517,55th Alki Trail,47.58255553,-122.4029369,Trail,Recreation,55th Alki Trail,0
Alki / Duwamish Culture Trail,47.58215,-122.403517,Alki Trail,47.58096215,-122.4058889,Trail,Recreation,Alki Trail,0
Bronze Imbeds,47.58215,-122.403517,55th Alki Trail,47.58255553,-122.4029369,Trail,Recreation,55th Alki Trail,0
Bronze Imbeds,47.58215,-122.403517,Alki Trail,47.58096215,-122.4058889,Trail,Recreation,Alki Trail,0
Pavers,47.58215,-122.403517,55th Alki Trail,47.58255553,-122.4029369,Trail,Recreation,55th Alki Trail,0
Pavers,47.58215,-122.403517,Alki Trail,47.58096215,-122.4058889,Trail,Recreation,Alki Trail,0
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,GameStop,47.52163321,-122.36758020000002,Video Game Store,Retail,GameStop,0
Bronze Plaques and Medallion,47.579817,-122.40975,Saigon Boat Cafe,47.58011861,-122.40775020000001,Vietnamese Restaurant,Food,Saigon Boat Cafe,0
Little Liberty,47.579383,-122.410633,Saigon Boat Cafe,47.58011861,-122.40775020000001,Vietnamese Restaurant,Food,Saigon Boat Cafe,0
The Forest Is Waiting,47.552966999999995,-122.363017,Pho Aroma,47.55179977,-122.3631378,Vietnamese Restaurant,Food,Pho Aroma,0
Whale's Tail,47.579383,-122.40715,Saigon Boat Cafe,47.58011861,-122.40775020000001,Vietnamese Restaurant,Food,Saigon Boat Cafe,0
Alki / Duwamish Culture Trail,47.58215,-122.403517,Underdog Sports League- Volleyball,47.58173201,-122.4046352,Volleyball Court,Recreation,Underdog Sports League- Volleyball,0
Bronze Imbeds,47.58215,-122.403517,Underdog Sports League- Volleyball,47.58173201,-122.4046352,Volleyball Court,Recreation,Underdog Sports League- Volleyball,0
Pavers,47.58215,-122.403517,Underdog Sports League- Volleyball,47.58173201,-122.4046352,Volleyball Court,Recreation,Underdog Sports League- Volleyball,0
