Title,Art Latitude,Art Longitude,Venue_x,Venue Latitude,Venue Longitude,Venue Category,Super Category,Venue_y,cluster_label
Pergola At Waiting For The Interurban,47.64945,-122.34955,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
Reality Relics,47.650133000000004,-122.34843300000001,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
Water Weaving Light Cycle,47.650067,-122.34883300000001,Fremont Vintage Mall,47.65026561,-122.35002649999998,Antique Shop,Retail,Fremont Vintage Mall,2
Black Lightning,47.620367,-122.3483,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Duck Windvane,47.6673,-122.2813,Duck Windvane,47.666788000000004,-122.280349,Art Gallery,Retail,Duck Windvane,2
Garthgoyles:  Designs for the Charlotte Martin Theatre,47.62085,-122.35211699999999,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Homage in Green,47.63205,-122.3157,Judge Thomas Burke,47.632111,-122.31571299999999,Art Gallery,Retail,Judge Thomas Burke,3
Meridian Archway,47.6649,-122.33368300000001,Meridian Archway,47.66482719,-122.33371840000001,Art Gallery,Retail,Meridian Archway,2
Migrare,47.621767,-122.3515,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Moses,47.6208,-122.348933,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Neighbors,47.615117,-122.31701699999999,Ghost Gallery,47.61382323,-122.3176038,Art Gallery,Retail,Ghost Gallery,3
Neototems Children's Garden,47.620166999999995,-122.3517,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Olympic Iliad,47.6193,-122.3501,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Paragon,47.558867,-122.3512,Story Viewers,47.5587,-122.350783,Art Gallery,Retail,Story Viewers,0
Playform,47.632183000000005,-122.31323300000001,Judge Thomas Burke,47.632111,-122.31571299999999,Art Gallery,Retail,Judge Thomas Burke,3
Story of North Island (Totem Pole),47.646933000000004,-122.301033,Story of North Island (Totem Pole),47.646933000000004,-122.301033,Art Gallery,Retail,Story of North Island (Totem Pole),3
Story of North Island (Totem Pole),47.646933000000004,-122.301033,Water Into Electricity (That Man May Use It Freely),47.645342,-122.30129099999999,Art Gallery,Retail,Water Into Electricity (That Man May Use It Freely),3
Sundial,47.645267,-122.33635,Sundial,47.645267,-122.33635,Art Gallery,Retail,Sundial,3
The Stairway In Fremont Project,47.655417,-122.350017,The Stairway In Fremont Project,47.65489672,-122.3499447,Art Gallery,Retail,The Stairway In Fremont Project,2
Tree Bench,47.601517,-122.3071,Pratt Fine Arts Center,47.59973069,-122.3072094,Art Gallery,Retail,Pratt Fine Arts Center,3
Twine and Branch,47.62135,-122.35206699999999,Chihuly Glasshouse,47.620825,-122.350023,Art Gallery,Retail,Chihuly Glasshouse,3
Untitled Bird-Bath,47.6312,-122.31673300000001,Judge Thomas Burke,47.632111,-122.31571299999999,Art Gallery,Retail,Judge Thomas Burke,3
Water Into Electricity (That Man May Use It Freely),47.645417,-122.30115,Story of North Island (Totem Pole),47.646933000000004,-122.301033,Art Gallery,Retail,Story of North Island (Totem Pole),3
Water Into Electricity (That Man May Use It Freely),47.645417,-122.30115,Water Into Electricity (That Man May Use It Freely),47.645342,-122.30129099999999,Art Gallery,Retail,Water Into Electricity (That Man May Use It Freely),3
William H. Seward,47.6319,-122.31571699999999,Judge Thomas Burke,47.632111,-122.31571299999999,Art Gallery,Retail,Judge Thomas Burke,3
Biography of a Branch,47.6212,-122.35173300000001,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Black Lightning,47.620367,-122.3483,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Black Sun,47.629917,-122.31516699999999,Seattle Asian Art Museum,47.63016052,-122.31456440000001,Art Museum,Recreation,Seattle Asian Art Museum,3
Circus Ring Plaza,47.621,-122.35088300000001,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Garthgoyles:  Designs for the Charlotte Martin Theatre,47.62085,-122.35211699999999,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Hammering Man,47.607033,-122.33815,Seattle Art Museum,47.60705223,-122.3378192,Art Museum,Recreation,Seattle Art Museum,3
Homage in Green,47.63205,-122.3157,Seattle Asian Art Museum,47.63016052,-122.31456440000001,Art Museum,Recreation,Seattle Asian Art Museum,3
Human Forms in Balance,47.622083,-122.350867,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Judge Thomas Burke,47.629283,-122.31525,Seattle Asian Art Museum,47.63016052,-122.31456440000001,Art Museum,Recreation,Seattle Asian Art Museum,3
Migrare,47.621767,-122.3515,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Moon Gates,47.620033,-122.34891699999999,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Moses,47.6208,-122.348933,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Neototems Children's Garden,47.620166999999995,-122.3517,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Olympic Iliad,47.6193,-122.3501,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Playform,47.632183000000005,-122.31323300000001,Seattle Asian Art Museum,47.63016052,-122.31456440000001,Art Museum,Recreation,Seattle Asian Art Museum,3
Seattle Center Totem,47.620767,-122.35133300000001,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Seattle Garden,47.607433,-122.339867,Seattle Art Museum,47.60705223,-122.3378192,Art Museum,Recreation,Seattle Art Museum,3
Skytones,47.60885,-122.336367,Seattle Art Museum,47.60705223,-122.3378192,Art Museum,Recreation,Seattle Art Museum,3
Twine and Branch,47.62135,-122.35206699999999,Chihuly Garden and Glass,47.62053407,-122.35027690000001,Art Museum,Recreation,Chihuly Garden and Glass,3
Untitled Bird-Bath,47.6312,-122.31673300000001,Seattle Asian Art Museum,47.63016052,-122.31456440000001,Art Museum,Recreation,Seattle Asian Art Museum,3
Untitled Mural,47.606167,-122.335017,Seattle Art Museum,47.60705223,-122.3378192,Art Museum,Recreation,Seattle Art Museum,3
William H. Seward,47.6319,-122.31571699999999,Seattle Asian Art Museum,47.63016052,-122.31456440000001,Art Museum,Recreation,Seattle Asian Art Museum,3
Migrare,47.621767,-122.3515,Glass Gallery,47.62042692,-122.35012409999999,Arts & Crafts Store,Retail,Glass Gallery,3
Neototems Children's Garden,47.620166999999995,-122.3517,Glass Gallery,47.62042692,-122.35012409999999,Arts & Crafts Store,Retail,Glass Gallery,3
Olympic Iliad,47.6193,-122.3501,Glass Gallery,47.62042692,-122.35012409999999,Arts & Crafts Store,Retail,Glass Gallery,3
Twine and Branch,47.62135,-122.35206699999999,Glass Gallery,47.62042692,-122.35012409999999,Arts & Crafts Store,Retail,Glass Gallery,3
Untitled Stone Garden Lantern,47.54958,-122.25731999999999,Seward Park Clay Studio,47.549638,-122.25629099999999,Arts & Crafts Store,Retail,Seward Park Clay Studio,1
Wisteria Mural,47.6593,-122.319167,Artist & Craftsman Supply,47.66083216,-122.319678,Arts & Crafts Store,Retail,Artist & Craftsman Supply,2
Firefighter Silhouettes,47.6652,-122.316833,Itadakimasu,47.66434356,-122.31429070000002,Asian Restaurant,Food,Itadakimasu,2
Whirl Piece:  Current Events,47.601517,-122.32055,Northshore Hawaiian BBQ,47.60149573,-122.31741299999999,Asian Restaurant,Food,Northshore Hawaiian BBQ,3
Wit and Wisdom,47.551266999999996,-122.2779,City Teriyaki,47.553251,-122.278975,Asian Restaurant,Food,City Teriyaki,1
Atala Kivliktwok Okitun Dukik (The Golden Money Moon),47.690783,-122.400833,Ballard Food Bank Turkey Trot,47.69014444,-122.3981582,Athletics & Sports,Recreation,Ballard Food Bank Turkey Trot,2
Aureole,47.7243,-122.348633,Bitter Lake Playfield,47.72415014,-122.34912859999999,Athletics & Sports,Recreation,Bitter Lake Playfield,2
House Finial,47.6216,-122.30705,Miller Playfield,47.62106219,-122.306478,Athletics & Sports,Recreation,Miller Playfield,3
Lantern Gateway,47.621533,-122.30723300000001,Miller Playfield,47.62106219,-122.306478,Athletics & Sports,Recreation,Miller Playfield,3
Sasquatch Pushing over A House,47.664333,-122.3197,Woodland Park- CYO Cross Country,47.66424003,-122.32100049999998,Athletics & Sports,Recreation,Woodland Park- CYO Cross Country,2
Skyline Canopies,47.6216,-122.30705,Miller Playfield,47.62106219,-122.306478,Athletics & Sports,Recreation,Miller Playfield,3
Swimming Fish,47.724233,-122.348633,Bitter Lake Playfield,47.72415014,-122.34912859999999,Athletics & Sports,Recreation,Bitter Lake Playfield,2
Untitled Star Map Floor Inlay,47.724083,-122.348533,Bitter Lake Playfield,47.72415014,-122.34912859999999,Athletics & Sports,Recreation,Bitter Lake Playfield,2
Water Borne,47.724167,-122.348633,Bitter Lake Playfield,47.72415014,-122.34912859999999,Athletics & Sports,Recreation,Bitter Lake Playfield,2
Whirr,47.724416999999995,-122.348483,Bitter Lake Playfield,47.72415014,-122.34912859999999,Athletics & Sports,Recreation,Bitter Lake Playfield,2
Firefighter Silhouettes,47.6652,-122.316833,University Volkswagen,47.66441704,-122.3171409,Auto Dealership,Retail,University Volkswagen,2
Sasquatch Pushing over A House,47.664333,-122.3197,University Volkswagen,47.66441704,-122.3171409,Auto Dealership,Retail,University Volkswagen,2
Reflective Refuge at Meadowbrook Pond,47.705633,-122.28888300000001,Seattle 5 Stars Garage Doors,47.703628,-122.289929,Auto Garage,Service,Seattle 5 Stars Garage Doors,2
Copper,47.5822,-122.3236,The Shop,47.58272215,-122.32654369999999,Auto Workshop,Service,The Shop,3
American Doughboy Bringing Home Victory,47.70965,-122.343033,Walt's Auto Care Center Aurora Ave,47.707775,-122.34485600000001,Automotive Shop,Retail,Walt's Auto Care Center Aurora Ave,2
.01 - Beacon Hill Discovery; .02 - Ravens Bill Downspouts,47.577833,-122.31126699999999,Despi Delite Bakery,47.57934704,-122.31360159999998,Bakery,Food,Despi Delite Bakery,1
A Place Called Home,47.560033000000004,-122.2869,Columbia City Bakery,47.5582613,-122.28535670000001,Bakery,Food,Columbia City Bakery,1
Beckoning Cistern,47.61485,-122.35013300000001,Macrina Bakery,47.61440634,-122.3481554,Bakery,Food,Macrina Bakery,3
Chief Seattle,47.618417,-122.347417,La Parisienne,47.61691057,-122.34654259999999,Bakery,Food,La Parisienne,3
Chinese Grand Pavilion,47.598667,-122.32558300000001,Fuji Bakery,47.59835649,-122.32641880000001,Bakery,Food,Fuji Bakery,3
Farmer's Pole,47.61,-122.343783,Piroshky Piroshky,47.6098635,-122.34244029999999,Bakery,Food,Piroshky Piroshky,3
"Heaven, Man, Earth",47.598983000000004,-122.32518300000001,Fuji Bakery,47.59835649,-122.32641880000001,Bakery,Food,Fuji Bakery,3
Into the Green Wood,47.687517,-122.3553,Coyle's Bakeshop,47.68923622,-122.3551701,Bakery,Food,Coyle's Bakeshop,2
Kuba Grille,47.607983000000004,-122.30218300000001,Central Cafe And Juice Bar,47.607867,-122.29948200000001,Bakery,Food,Central Cafe And Juice Bar,3
Mcgilvra's Farm,47.635467,-122.27791699999999,Madison Park Bakery,47.63600692,-122.2778861,Bakery,Food,Madison Park Bakery,3
Playground,47.67675,-122.30495,Sodhouse Bakery,47.67585355,-122.30438429999998,Bakery,Food,Sodhouse Bakery,2
Playground Artwork,47.6767,-122.30495,Sodhouse Bakery,47.67585355,-122.30438429999998,Bakery,Food,Sodhouse Bakery,2
Shango Throne,47.607683,-122.30215,Central Cafe And Juice Bar,47.607867,-122.29948200000001,Bakery,Food,Central Cafe And Juice Bar,3
Spirit of Washington,47.560033000000004,-122.2873,Columbia City Bakery,47.5582613,-122.28535670000001,Bakery,Food,Columbia City Bakery,1
Untitled,47.598766999999995,-122.32525,Fuji Bakery,47.59835649,-122.32641880000001,Bakery,Food,Fuji Bakery,3
Untitled ,47.618733,-122.347917,La Parisienne,47.61691057,-122.34654259999999,Bakery,Food,La Parisienne,3
Untitled (Kiosk),47.615617,-122.34458300000001,La Parisienne,47.61691057,-122.34654259999999,Bakery,Food,La Parisienne,3
Untitled Fence,47.610116999999995,-122.344117,Piroshky Piroshky,47.6098635,-122.34244029999999,Bakery,Food,Piroshky Piroshky,3
Untitled Totem Pole,47.61015,-122.34411999999999,Piroshky Piroshky,47.6098635,-122.34244029999999,Bakery,Food,Piroshky Piroshky,3
"Wave, Rave, Cave",47.613033,-122.34753300000001,Macrina Bakery,47.61440634,-122.3481554,Bakery,Food,Macrina Bakery,3
Longfellow Creek Legacy Trail Way Finding Signs,47.519767,-122.36848300000001,Chase Bank,47.521433,-122.36927299999999,Bank,Service,Chase Bank,0
Periscope Tree,47.569783,-122.2863,Chase Bank,47.56907546,-122.287893,Bank,Service,Chase Bank,1
Ballard Gateway,47.664986,-122.37613600000002,Mike's Chili Parlor,47.66282225,-122.375801,Bar,Retail,Mike's Chili Parlor,2
Beckoning Cistern,47.61485,-122.35013300000001,Some Random Bar,47.61563929,-122.3500258,Bar,Retail,Some Random Bar,3
Beckoning Cistern,47.61485,-122.35013300000001,Cyclops,47.61467027,-122.3487318,Bar,Retail,Cyclops,3
"Collections  Objects, Experiences, Memories",47.719547,-122.29786100000001,The Back Door Pub,47.71837199,-122.2956034,Bar,Retail,The Back Door Pub,2
Dr. Mark A. Matthews,47.618666999999995,-122.341233,Gold Bar,47.62055893,-122.3398916,Bar,Retail,Gold Bar,3
Into the Green Wood,47.687517,-122.3553,The Yard Cafe,47.68955028,-122.35549240000002,Bar,Retail,The Yard Cafe,2
Kuba Grille,47.607983000000004,-122.30218300000001,Twilight Exit,47.60817479999999,-122.2994538,Bar,Retail,Twilight Exit,3
Lake City Gateway,47.719120000000004,-122.29557,The Back Door Pub,47.71837199,-122.2956034,Bar,Retail,The Back Door Pub,2
Mcgilvra's Farm,47.635467,-122.27791699999999,The Attic Alehouse & Eatery,47.63629711,-122.277584,Bar,Retail,The Attic Alehouse & Eatery,3
Oshun Throne,47.60775,-122.302383,Twilight Exit,47.60817479999999,-122.2994538,Bar,Retail,Twilight Exit,3
People Waiting for the Interurban,47.64945,-122.349483,Schilling Cider House,47.64955773,-122.34923219999999,Bar,Retail,Schilling Cider House,2
Pergola At Waiting For The Interurban,47.64945,-122.34955,Schilling Cider House,47.64955773,-122.34923219999999,Bar,Retail,Schilling Cider House,2
Proverbs and Icons,47.6079,-122.30226699999999,Twilight Exit,47.60817479999999,-122.2994538,Bar,Retail,Twilight Exit,3
Reality Relics,47.650133000000004,-122.34843300000001,Schilling Cider House,47.64955773,-122.34923219999999,Bar,Retail,Schilling Cider House,2
Shango Throne,47.607683,-122.30215,Twilight Exit,47.60817479999999,-122.2994538,Bar,Retail,Twilight Exit,3
Untitled,47.621783,-122.33238300000001,Bar Harbor,47.62227574,-122.33430259999999,Bar,Retail,Bar Harbor,3
Untitled,47.719561,-122.297836,The Back Door Pub,47.71837199,-122.2956034,Bar,Retail,The Back Door Pub,2
Water Weaving Light Cycle,47.650067,-122.34883300000001,Schilling Cider House,47.64955773,-122.34923219999999,Bar,Retail,Schilling Cider House,2
JUMs,47.527683,-122.36881699999999,Denny Field,47.52726746,-122.36757659999998,Baseball Field,Recreation,Denny Field,0
Kuba Grille,47.607983000000004,-122.30218300000001,Garfield Ball Field,47.60682769,-122.3008867,Baseball Field,Recreation,Garfield Ball Field,3
Oshun Throne,47.60775,-122.302383,Garfield Ball Field,47.60682769,-122.3008867,Baseball Field,Recreation,Garfield Ball Field,3
Proverbs and Icons,47.6079,-122.30226699999999,Garfield Ball Field,47.60682769,-122.3008867,Baseball Field,Recreation,Garfield Ball Field,3
Untitled,47.645333,-122.4016,West Magnolia Playfield,47.64533424,-122.4006565,Baseball Field,Recreation,West Magnolia Playfield,2
Untitled,47.6452,-122.4014,West Magnolia Playfield,47.64533424,-122.4006565,Baseball Field,Recreation,West Magnolia Playfield,2
Bottle Cap Children,47.561533000000004,-122.28471699999999,Rainier Community Center Basketball Courts,47.56207366,-122.2849982,Basketball Court,Recreation,Rainier Community Center Basketball Courts,1
Clock Tower,47.561533000000004,-122.28471699999999,Rainier Community Center Basketball Courts,47.56207366,-122.2849982,Basketball Court,Recreation,Rainier Community Center Basketball Courts,1
Earth Story,47.5616,-122.28463300000001,Rainier Community Center Basketball Courts,47.56207366,-122.2849982,Basketball Court,Recreation,Rainier Community Center Basketball Courts,1
Step on no Pets,47.638166999999996,-122.3766,Emerald City Basketball Academy,47.63876548,-122.3769425,Basketball Court,Recreation,Emerald City Basketball Academy,3
Sundial,47.645267,-122.33635,Puget Sound,47.64503,-122.33888999999999,Bay,Recreation,Puget Sound,3
Hatch Covers,47.6039,-122.33083300000001,Hole in the Wall Barbecue,47.60252462,-122.33200929999998,BBQ Joint,Food,Hole in the Wall Barbecue,3
illumine,47.603867,-122.33055,Hole in the Wall Barbecue,47.60252462,-122.33200929999998,BBQ Joint,Food,Hole in the Wall Barbecue,3
Tree Bench,47.601517,-122.3071,R&L Home of Good Bar-B-Q,47.601857,-122.30823500000001,BBQ Joint,Food,R&L Home of Good Bar-B-Q,3
Atala Kivliktwok Okitun Dukik (The Golden Money Moon),47.690783,-122.400833,Golden Gardens Park,47.69058265,-122.40329579999998,Beach,Recreation,Golden Gardens Park,2
Atala Kivliktwok Okitun Dukik (The Golden Money Moon),47.690783,-122.400833,Golden Gardens Park Waterfront,47.69158695,-122.4038082,Beach,Recreation,Golden Gardens Park Waterfront,2
Bronze Plaques and Medallion,47.579817,-122.40975,Alki Beach Park,47.57986887,-122.4090422,Beach,Recreation,Alki Beach Park,0
Garden Path,47.581717,-122.28816699999999,Mount Baker Beach,47.58324126,-122.28727590000001,Beach,Recreation,Mount Baker Beach,1
Japanese Lantern,47.5825,-122.28795,Mount Baker Beach,47.58324126,-122.28727590000001,Beach,Recreation,Mount Baker Beach,1
Little Liberty,47.579383,-122.410633,Alki Beach Park,47.57986887,-122.4090422,Beach,Recreation,Alki Beach Park,0
Mcgilvra's Farm,47.635467,-122.27791699999999,Madison Park Beach,47.63585368,-122.2767645,Beach,Recreation,Madison Park Beach,3
Sundial,47.645267,-122.33635,Gasworks Park Beach,47.64446649,-122.33442420000002,Beach,Recreation,Gasworks Park Beach,3
The Fin Project:  From Swords into Plowshares,47.68085,-122.24733300000001,Warren G. Magnuson Beach,47.68040943,-122.24698159999998,Beach,Recreation,Warren G. Magnuson Beach,2
Whale's Tail,47.579383,-122.40715,Alki Beach Park,47.57986887,-122.4090422,Beach,Recreation,Alki Beach Park,0
Judge Thomas Burke,47.629283,-122.31525,Shafer Baillie Mansion Bed & Breakfast,47.627091,-122.31493200000001,Bed & Breakfast,Hospitality,Shafer Baillie Mansion Bed & Breakfast,3
Tulip Tree Mosaic,47.6268,-122.311383,Mozart Guest House Bed and Breakfast,47.628094,-122.31289699999999,Bed & Breakfast,Hospitality,Mozart Guest House Bed and Breakfast,3
Tulip Tree Mosaic,47.6268,-122.311383,The Mansion,47.627119,-122.31423400000001,Bed & Breakfast,Hospitality,The Mansion,3
Waterfront Fountain,47.617983,-122.31946699999999,11th Avenue Inn Bed and Breakfast,47.61951038,-122.31858999999999,Bed & Breakfast,Hospitality,11th Avenue Inn Bed and Breakfast,3
Chief Seattle,47.618417,-122.347417,TeKu Tavern,47.6185858,-122.3460108,Beer Bar,Retail,TeKu Tavern,3
"Collections  Objects, Experiences, Memories",47.719547,-122.29786100000001,Brother Barrel,47.7202893,-122.294972,Beer Bar,Retail,Brother Barrel,2
Equality,47.59405,-122.314117,West Wall,47.59353651,-122.3109854,Beer Bar,Retail,West Wall,3
Lake City Gateway,47.719120000000004,-122.29557,Brother Barrel,47.7202893,-122.294972,Beer Bar,Retail,Brother Barrel,2
Untitled,47.719561,-122.297836,Brother Barrel,47.7202893,-122.294972,Beer Bar,Retail,Brother Barrel,2
Untitled ,47.618733,-122.347917,TeKu Tavern,47.6185858,-122.3460108,Beer Bar,Retail,TeKu Tavern,3
Five Neons,47.661317,-122.338783,Bottleworks,47.66150244,-122.3370608,Beer Store,Retail,Bottleworks,2
Skylight Aperture Sundial,47.64045,-122.3024,Montlake Bicycle Shop,47.639379999999996,-122.30233999999999,Bike Shop,Retail,Montlake Bicycle Shop,3
Step on no Pets,47.638166999999996,-122.3766,Alpine Hut,47.63925968,-122.3764773,Bike Shop,Retail,Alpine Hut,3
Salmon Waves,47.66468,-122.3975,Lake Washington Ship Canal,47.66480758,-122.39769209999999,Boat or Ferry,Recreation,Lake Washington Ship Canal,2
Story of North Island (Totem Pole),47.646933000000004,-122.301033,Husky Watergate,47.64765967,-122.2995178,Boat or Ferry,Recreation,Husky Watergate,3
Chinese Grand Pavilion,47.598667,-122.32558300000001,Kinokuniya Book Store,47.59730729,-122.32677279999999,Bookstore,Retail,Kinokuniya Book Store,3
"Heaven, Man, Earth",47.598983000000004,-122.32518300000001,Kinokuniya Book Store,47.59730729,-122.32677279999999,Bookstore,Retail,Kinokuniya Book Store,3
Neighbors,47.615117,-122.31701699999999,Elliott Bay Book Company,47.61468909,-122.3198854,Bookstore,Retail,Elliott Bay Book Company,3
Playground,47.67675,-122.30495,Third Place Books,47.67599098,-122.30645190000001,Bookstore,Retail,Third Place Books,2
Playground Artwork,47.6767,-122.30495,Third Place Books,47.67599098,-122.30645190000001,Bookstore,Retail,Third Place Books,2
Sand Dragon,47.596917,-122.323517,Kinokuniya Book Store,47.59730729,-122.32677279999999,Bookstore,Retail,Kinokuniya Book Store,3
Untitled,47.598766999999995,-122.32525,Kinokuniya Book Store,47.59730729,-122.32677279999999,Bookstore,Retail,Kinokuniya Book Store,3
Gates,47.6402,-122.29443300000001,Washington Park Arboretum,47.6397402,-122.29472109999999,Botanical Garden,Recreation,Washington Park Arboretum,3
Salmon Waves,47.66468,-122.3975,Carl S. English Jr. Botanical Garden,47.66656051,-122.396746,Botanical Garden,Recreation,Carl S. English Jr. Botanical Garden,2
Chinese Grand Pavilion,47.598667,-122.32558300000001,Momo,47.59923477,-122.3262729,Boutique,Retail,Momo,3
Circulation,47.706033000000005,-122.322717,Fuego,47.70598305,-122.32596969999999,Boutique,Retail,Fuego,2
"Heaven, Man, Earth",47.598983000000004,-122.32518300000001,Momo,47.59923477,-122.3262729,Boutique,Retail,Momo,3
Untitled,47.598766999999995,-122.32525,Momo,47.59923477,-122.3262729,Boutique,Retail,Momo,3
112 Wristwatches,47.603983,-122.329167,Biscuit B*tch,47.603237,-122.33201000000001,Breakfast Spot,Food,Biscuit B*tch,3
Bear (Totem),47.600733,-122.33325,Planet Java,47.60093128,-122.3352922,Breakfast Spot,Food,Planet Java,3
Chief Seattle,47.618417,-122.347417,Tilikum Place Café,47.61802974,-122.34768940000001,Breakfast Spot,Food,Tilikum Place Café,3
Chief Seattle Fountain,47.602017,-122.33395,Biscuit B*tch,47.603237,-122.33201000000001,Breakfast Spot,Food,Biscuit B*tch,3
Chief Seattle Fountain,47.602017,-122.33395,Planet Java,47.60093128,-122.3352922,Breakfast Spot,Food,Planet Java,3
Codes & Protocol,47.604317,-122.3296,Biscuit B*tch,47.603237,-122.33201000000001,Breakfast Spot,Food,Biscuit B*tch,3
Codes & Protocol,47.60432,-122.3296,Biscuit B*tch,47.603237,-122.33201000000001,Breakfast Spot,Food,Biscuit B*tch,3
Codes & Protocol,47.60475,-122.329917,Biscuit B*tch,47.603237,-122.33201000000001,Breakfast Spot,Food,Biscuit B*tch,3
Common Ground,47.603983,-122.329167,Biscuit B*tch,47.603237,-122.33201000000001,Breakfast Spot,Food,Biscuit B*tch,3
Day/Night,47.601983000000004,-122.33395,Biscuit B*tch,47.603237,-122.33201000000001,Breakfast Spot,Food,Biscuit B*tch,3
Day/Night,47.601983000000004,-122.33395,Planet Java,47.60093128,-122.3352922,Breakfast Spot,Food,Planet Java,3
Forms of Power,47.661483000000004,-122.36463300000001,The Dish Cafe,47.66027961,-122.3658982,Breakfast Spot,Food,The Dish Cafe,2
